task,model,language,metric,value
News Topic,DeepSeek-R1-Distill,Slovenian,micro_f1,0.361
News Topic,DeepSeek-R1-Distill,Croatian,macro_f1,0.401
News Topic,DeepSeek-R1-Distill,Croatian,micro_f1,0.39
News Topic,Support Vector Machine,Slovenian,macro_f1,0.421
News Topic,Support Vector Machine,Slovenian,micro_f1,0.426
News Topic,Support Vector Machine,Croatian,macro_f1,0.399
News Topic,Support Vector Machine,Croatian,micro_f1,0.43
News Topic,Naive Bayes Classifier,Slovenian,macro_f1,0.211
News Topic,Naive Bayes Classifier,Slovenian,micro_f1,0.255
News Topic,Naive Bayes Classifier,Croatian,macro_f1,0.231
News Topic,Naive Bayes Classifier,Croatian,micro_f1,0.313
News Topic,Dummy (Stratified),Slovenian,macro_f1,0.053
News Topic,Dummy (Stratified),Slovenian,micro_f1,0.053
News Topic,Dummy (Stratified),Croatian,macro_f1,0.057
News Topic,Dummy (Stratified),Croatian,micro_f1,0.072
News Topic,Dummy (Most Frequent),Slovenian,macro_f1,0.007
News Topic,Dummy (Most Frequent),Slovenian,micro_f1,0.06
News Topic,Dummy (Most Frequent),Croatian,macro_f1,0.006
News Topic,Dummy (Most Frequent),Croatian,micro_f1,0.058
Parliamentary Speech Topic,Dummy (Most Frequent),Croatian,macro_f1,0.0056879474
Parliamentary Speech Topic,Dummy (Most Frequent),Croatian,micro_f1,0.0667433832
Parliamentary Speech Topic,Dummy (Most Frequent),English,macro_f1,0.0051864175
Parliamentary Speech Topic,Dummy (Most Frequent),English,micro_f1,0.0605022831
Parliamentary Speech Topic,Dummy (Most Frequent),Serbian,macro_f1,0.0056574327
Parliamentary Speech Topic,Dummy (Most Frequent),Serbian,micro_f1,0.0663615561
Parliamentary Speech Topic,Dummy (Most Frequent),Bosnian,macro_f1,0.0085914086
Parliamentary Speech Topic,Dummy (Most Frequent),Bosnian,micro_f1,0.104368932
Parliamentary Speech Topic,Dummy (Stratified),Croatian,macro_f1,0.0412299027
Parliamentary Speech Topic,Dummy (Stratified),Croatian,micro_f1,0.0563866513
Parliamentary Speech Topic,Dummy (Stratified),English,macro_f1,0.0487593516
Parliamentary Speech Topic,Dummy (Stratified),English,micro_f1,0.0559360731
Parliamentary Speech Topic,Dummy (Stratified),Serbian,macro_f1,0.0459831171
Parliamentary Speech Topic,Dummy (Stratified),Serbian,micro_f1,0.0583524027
Parliamentary Speech Topic,Dummy (Stratified),Bosnian,macro_f1,0.0416111714
Parliamentary Speech Topic,Dummy (Stratified),Bosnian,micro_f1,0.0606796117
Parliamentary Speech Topic,ParlaCAP-classifier,Croatian,macro_f1,0.6856743459
Parliamentary Speech Topic,ParlaCAP-classifier,Croatian,micro_f1,0.6766398159
Parliamentary Speech Topic,ParlaCAP-classifier,English,macro_f1,0.7229632138
Parliamentary Speech Topic,ParlaCAP-classifier,English,micro_f1,0.7237442922
Parliamentary Speech Topic,ParlaCAP-classifier,Serbian,macro_f1,0.7068794735
Parliamentary Speech Topic,ParlaCAP-classifier,Serbian,micro_f1,0.704805492
Parliamentary Speech Topic,ParlaCAP-classifier,Bosnian,macro_f1,0.6460589751
Parliamentary Speech Topic,ParlaCAP-classifier,Bosnian,micro_f1,0.645631068
Parliamentary Speech Topic,Naive Bayes Classifier,Croatian,macro_f1,0.0195880089
Parliamentary Speech Topic,Naive Bayes Classifier,Croatian,micro_f1,0.1047180667
Parliamentary Speech Topic,Naive Bayes Classifier,English,macro_f1,0.0081194643
Parliamentary Speech Topic,Naive Bayes Classifier,English,micro_f1,0.0445205479
Parliamentary Speech Topic,Naive Bayes Classifier,Serbian,macro_f1,0.0129640736
Parliamentary Speech Topic,Naive Bayes Classifier,Serbian,micro_f1,0.0835240275
Parliamentary Speech Topic,Naive Bayes Classifier,Bosnian,macro_f1,0.0200870307
Parliamentary Speech Topic,Naive Bayes Classifier,Bosnian,micro_f1,0.1359223301
Parliamentary Speech Topic,Support Vector Machine,Croatian,macro_f1,0.0730543867
Parliamentary Speech Topic,Support Vector Machine,Croatian,micro_f1,0.1254315305
Parliamentary Speech Topic,Support Vector Machine,English,macro_f1,0.0348638118
Parliamentary Speech Topic,Support Vector Machine,English,micro_f1,0.0707762557
Parliamentary Speech Topic,Support Vector Machine,Serbian,macro_f1,0.0565144162
Parliamentary Speech Topic,Support Vector Machine,Serbian,micro_f1,0.1247139588
Parliamentary Speech Topic,Support Vector Machine,Bosnian,macro_f1,0.0497498047
Parliamentary Speech Topic,Support Vector Machine,Bosnian,micro_f1,0.1371359223
Parliamentary Speech Topic,Gemma 3,Croatian,macro_f1,0.5546842733
Parliamentary Speech Topic,Gemma 3,Croatian,micro_f1,0.5506912442
Parliamentary Speech Topic,Gemma 3,English,macro_f1,0.6199967092
Parliamentary Speech Topic,Gemma 3,English,micro_f1,0.6198630137
Parliamentary Speech Topic,Gemma 3,Serbian,macro_f1,0.5704465687
Parliamentary Speech Topic,Gemma 3,Serbian,micro_f1,0.5655409273
Parliamentary Speech Topic,Gemma 3,Bosnian,macro_f1,0.5103113923
Parliamentary Speech Topic,Gemma 3,Bosnian,micro_f1,0.5
Parliamentary Speech Topic,LLaMA 4 Scout,Croatian,macro_f1,0.4836522524
Parliamentary Speech Topic,LLaMA 4 Scout,Croatian,micro_f1,0.4844649022
Parliamentary Speech Topic,LLaMA 4 Scout,English,macro_f1,0.5131162288
Parliamentary Speech Topic,LLaMA 4 Scout,English,micro_f1,0.5251141553
Parliamentary Speech Topic,LLaMA 4 Scout,Serbian,macro_f1,0.4776614805
Parliamentary Speech Topic,LLaMA 4 Scout,Serbian,micro_f1,0.471395881
Parliamentary Speech Topic,LLaMA 4 Scout,Bosnian,macro_f1,0.3820055443
Parliamentary Speech Topic,LLaMA 4 Scout,Bosnian,micro_f1,0.3798543689
Parliamentary Speech Topic,LLaMA 3.3,Croatian,macro_f1,0.5546599188
Parliamentary Speech Topic,LLaMA 3.3,Croatian,micro_f1,0.5650172612
Parliamentary Speech Topic,LLaMA 3.3,English,macro_f1,0.631682614
Parliamentary Speech Topic,LLaMA 3.3,English,micro_f1,0.6404109589
Parliamentary Speech Topic,LLaMA 3.3,Serbian,macro_f1,0.6129052744
Parliamentary Speech Topic,LLaMA 3.3,Serbian,micro_f1,0.6086956522
Parliamentary Speech Topic,LLaMA 3.3,Bosnian,macro_f1,0.5256781706
Parliamentary Speech Topic,LLaMA 3.3,Bosnian,micro_f1,0.5230582524
Parliamentary Speech Topic,Qwen 3,Croatian,macro_f1,0.5975587848
Parliamentary Speech Topic,Qwen 3,Croatian,micro_f1,0.581127733
Parliamentary Speech Topic,Qwen 3,English,macro_f1,0.6466629855
Parliamentary Speech Topic,Qwen 3,English,micro_f1,0.649543379
Parliamentary Speech Topic,Qwen 3,Serbian,macro_f1,0.5692075045
Parliamentary Speech Topic,Qwen 3,Serbian,micro_f1,0.5514874142
Parliamentary Speech Topic,Qwen 3,Bosnian,macro_f1,0.4797014506
Parliamentary Speech Topic,Qwen 3,Bosnian,micro_f1,0.4648058252
Parliamentary Speech Topic,DeepSeek-R1-Distill,Croatian,macro_f1,0.3114163981
Parliamentary Speech Topic,DeepSeek-R1-Distill,Croatian,micro_f1,0.2842347526
Parliamentary Speech Topic,DeepSeek-R1-Distill,English,macro_f1,0.404498565
Parliamentary Speech Topic,DeepSeek-R1-Distill,English,micro_f1,0.3812785388
Parliamentary Speech Topic,DeepSeek-R1-Distill,Serbian,macro_f1,0.3027400052
Parliamentary Speech Topic,DeepSeek-R1-Distill,Serbian,micro_f1,0.2791762014
Parliamentary Speech Topic,DeepSeek-R1-Distill,Bosnian,macro_f1,0.2661747665
Parliamentary Speech Topic,DeepSeek-R1-Distill,Bosnian,micro_f1,0.2597087379
Parliamentary Speech Topic,GPT-4o,Croatian,macro_f1,0.6714281454
Parliamentary Speech Topic,GPT-4o,Croatian,micro_f1,0.663981588
Parliamentary Speech Topic,GPT-4o,English,macro_f1,0.744534743
Parliamentary Speech Topic,GPT-4o,English,micro_f1,0.7442922374
Parliamentary Speech Topic,GPT-4o,Serbian,macro_f1,0.6910109862
Parliamentary Speech Topic,GPT-4o,Serbian,micro_f1,0.6887871854
Parliamentary Speech Topic,GPT-4o,Bosnian,macro_f1,0.6291958538
Parliamentary Speech Topic,GPT-4o,Bosnian,micro_f1,0.6298543689
Parliamentary Speech Topic,GPT-4o-mini,Croatian,macro_f1,0.5895846598
Parliamentary Speech Topic,GPT-4o-mini,Croatian,micro_f1,0.5880322209
Parliamentary Speech Topic,GPT-4o-mini,English,macro_f1,0.6410095723
Parliamentary Speech Topic,GPT-4o-mini,English,micro_f1,0.6415525114
Parliamentary Speech Topic,GPT-4o-mini,Serbian,macro_f1,0.5925278158
Parliamentary Speech Topic,GPT-4o-mini,Serbian,micro_f1,0.5881006865
Parliamentary Speech Topic,GPT-4o-mini,Bosnian,macro_f1,0.5235427672
Parliamentary Speech Topic,GPT-4o-mini,Bosnian,micro_f1,0.5218446602
Parliamentary Speech Topic,GPT-5,Croatian,macro_f1,0.6910365387
Parliamentary Speech Topic,GPT-5,Croatian,micro_f1,0.6869965478
Parliamentary Speech Topic,GPT-5,English,macro_f1,0.7338714523
Parliamentary Speech Topic,GPT-5,English,micro_f1,0.7317351598
Parliamentary Speech Topic,GPT-5,Serbian,macro_f1,0.7072848539
Parliamentary Speech Topic,GPT-5,Serbian,micro_f1,0.7025171625
Parliamentary Speech Topic,GPT-5,Bosnian,macro_f1,0.6428336253
Parliamentary Speech Topic,GPT-5,Bosnian,micro_f1,0.6529126214
Parliamentary Speech Topic,GPT-3.5-Turbo,Croatian,macro_f1,0.4871659677
Parliamentary Speech Topic,GPT-3.5-Turbo,Croatian,micro_f1,0.4844649022
Parliamentary Speech Topic,GPT-3.5-Turbo,English,macro_f1,0.5447803659
Parliamentary Speech Topic,GPT-3.5-Turbo,English,micro_f1,0.546803653
Parliamentary Speech Topic,GPT-3.5-Turbo,Serbian,macro_f1,0.5537989794
Parliamentary Speech Topic,GPT-3.5-Turbo,Serbian,micro_f1,0.5411899314
Parliamentary Speech Topic,GPT-3.5-Turbo,Bosnian,macro_f1,0.4892742143
Parliamentary Speech Topic,GPT-3.5-Turbo,Bosnian,micro_f1,0.4878640777
Parliamentary Speech Topic,GPT-5-Nano,Croatian,macro_f1,0.6051046672
Parliamentary Speech Topic,GPT-5-Nano,Croatian,micro_f1,0.5983889528
Parliamentary Speech Topic,GPT-5-Nano,English,macro_f1,0.6567632008
Parliamentary Speech Topic,GPT-5-Nano,English,micro_f1,0.6643835616
Parliamentary Speech Topic,GPT-5-Nano,Serbian,macro_f1,0.6252173455
Parliamentary Speech Topic,GPT-5-Nano,Serbian,micro_f1,0.6304347826
Parliamentary Speech Topic,GPT-5-Nano,Bosnian,macro_f1,0.5641829059
Parliamentary Speech Topic,GPT-5-Nano,Bosnian,micro_f1,0.5849514563
Parliamentary Speech Topic,GPT-5-mini,Croatian,macro_f1,0.6776315452
Parliamentary Speech Topic,GPT-5-mini,Croatian,micro_f1,0.6720368239
Parliamentary Speech Topic,GPT-5-mini,English,macro_f1,0.7289633014
Parliamentary Speech Topic,GPT-5-mini,English,micro_f1,0.7294520548
Parliamentary Speech Topic,GPT-5-mini,Serbian,macro_f1,0.6837198436
Parliamentary Speech Topic,GPT-5-mini,Serbian,micro_f1,0.6773455378
Parliamentary Speech Topic,GPT-5-mini,Bosnian,macro_f1,0.621466215
Parliamentary Speech Topic,GPT-5-mini,Bosnian,micro_f1,0.6322815534
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Croatian,macro_f1,0.6025530061
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Croatian,micro_f1,0.5891829689
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,English,macro_f1,0.6786531566
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,English,micro_f1,0.6826484018
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Serbian,macro_f1,0.6240595422
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Serbian,micro_f1,0.6167048055
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Bosnian,macro_f1,0.5187000797
Parliamentary Speech Topic,Gemini 2.5 Flash Lite,Bosnian,micro_f1,0.5266990291
Parliamentary Speech Topic,Gemini 2.5 Flash,Croatian,macro_f1,0.661392603
Parliamentary Speech Topic,Gemini 2.5 Flash,Croatian,micro_f1,0.6536248562
Parliamentary Speech Topic,Gemini 2.5 Flash,English,macro_f1,0.7094757832
Parliamentary Speech Topic,Gemini 2.5 Flash,English,micro_f1,0.7123287671
Parliamentary Speech Topic,Gemini 2.5 Flash,Serbian,macro_f1,0.6332974127
Parliamentary Speech Topic,Gemini 2.5 Flash,Serbian,micro_f1,0.6315789474
Parliamentary Speech Topic,Gemini 2.5 Flash,Bosnian,macro_f1,0.5862478831
Parliamentary Speech Topic,Gemini 2.5 Flash,Bosnian,micro_f1,0.5898058252
Parliamentary Speech Topic,Mistral Medium 3.1,Croatian,macro_f1,0.6271852902
Parliamentary Speech Topic,Mistral Medium 3.1,Croatian,micro_f1,0.6110471807
Parliamentary Speech Topic,Mistral Medium 3.1,English,macro_f1,0.6664422196
Parliamentary Speech Topic,Mistral Medium 3.1,English,micro_f1,0.6643835616
Parliamentary Speech Topic,Mistral Medium 3.1,Serbian,macro_f1,0.5969914144
Parliamentary Speech Topic,Mistral Medium 3.1,Serbian,micro_f1,0.5778032037
Parliamentary Speech Topic,Mistral Medium 3.1,Bosnian,macro_f1,0.5144432283
Parliamentary Speech Topic,Mistral Medium 3.1,Bosnian,micro_f1,0.4878640777
Parliamentary Speech Topic,Mistral Small 3.2,Croatian,macro_f1,0.5763213783
Parliamentary Speech Topic,Mistral Small 3.2,Croatian,micro_f1,0.5684695052
Parliamentary Speech Topic,Mistral Small 3.2,English,macro_f1,0.6287213923
Parliamentary Speech Topic,Mistral Small 3.2,English,micro_f1,0.6244292237
Parliamentary Speech Topic,Mistral Small 3.2,Serbian,macro_f1,0.6013668853
Parliamentary Speech Topic,Mistral Small 3.2,Serbian,micro_f1,0.5949656751
Parliamentary Speech Topic,Mistral Small 3.2,Bosnian,macro_f1,0.5430821317
Parliamentary Speech Topic,Mistral Small 3.2,Bosnian,micro_f1,0.5218446602
Parliamentary Speech Topic,Command A,English,macro_f1,0.66888018
Parliamentary Speech Topic,Command A,English,micro_f1,0.6735159817
Sentiment,Dummy (Stratified),English,macro_f1,0.3265833492
Sentiment,Dummy (Stratified),English,micro_f1,0.3461538462
Sentiment,Dummy (Stratified),Croatian,macro_f1,0.3158926112
Sentiment,Dummy (Stratified),Croatian,micro_f1,0.3645209581
Sentiment,Dummy (Stratified),Serbian,macro_f1,0.3267265564
Sentiment,Dummy (Stratified),Serbian,micro_f1,0.3612662942
Sentiment,Dummy (Stratified),Bosnian,macro_f1,0.3200313937
Sentiment,Dummy (Stratified),Bosnian,micro_f1,0.3631578947
Sentiment,Dummy (Most Frequent),English,macro_f1,0.1629371307
Sentiment,Dummy (Most Frequent),English,micro_f1,0.3234615385
Sentiment,Dummy (Most Frequent),Croatian,macro_f1,0.1969057665
Sentiment,Dummy (Most Frequent),Croatian,micro_f1,0.4191616766
Sentiment,Dummy (Most Frequent),Serbian,macro_f1,0.2106157113
Sentiment,Dummy (Most Frequent),Serbian,micro_f1,0.4618249534
Sentiment,Dummy (Most Frequent),Bosnian,macro_f1,0.2158956109
Sentiment,Dummy (Most Frequent),Bosnian,micro_f1,0.4789473684
Sentiment,Naive Bayes Classifier,English,macro_f1,0.2623114547
Sentiment,Naive Bayes Classifier,English,micro_f1,0.3276923077
Sentiment,Naive Bayes Classifier,Croatian,macro_f1,0.4319037542
Sentiment,Naive Bayes Classifier,Croatian,micro_f1,0.4520958084
Sentiment,Naive Bayes Classifier,Serbian,macro_f1,0.4415734633
Sentiment,Naive Bayes Classifier,Serbian,micro_f1,0.4767225326
Sentiment,Naive Bayes Classifier,Bosnian,macro_f1,0.4471652163
Sentiment,Naive Bayes Classifier,Bosnian,micro_f1,0.4947368421
Sentiment,Support Vector Machine,English,macro_f1,0.3461498968
Sentiment,Support Vector Machine,English,micro_f1,0.3953846154
Sentiment,Support Vector Machine,Croatian,macro_f1,0.3450901276
Sentiment,Support Vector Machine,Croatian,micro_f1,0.496257485
Sentiment,Support Vector Machine,Serbian,macro_f1,0.3697594388
Sentiment,Support Vector Machine,Serbian,micro_f1,0.5353817505
Sentiment,Support Vector Machine,Bosnian,macro_f1,0.3450187552
Sentiment,Support Vector Machine,Bosnian,micro_f1,0.5315789474
Sentiment,XLM-R-ParlaSent,English,macro_f1,0.7275634248
Sentiment,XLM-R-ParlaSent,English,micro_f1,0.7265384615
Sentiment,XLM-R-ParlaSent,Croatian,macro_f1,0.6981174088
Sentiment,XLM-R-ParlaSent,Croatian,micro_f1,0.7193113772
Sentiment,XLM-R-ParlaSent,Serbian,macro_f1,0.7100055038
Sentiment,XLM-R-ParlaSent,Serbian,micro_f1,0.7318435754
Sentiment,XLM-R-ParlaSent,Bosnian,macro_f1,0.6966958606
Sentiment,XLM-R-ParlaSent,Bosnian,micro_f1,0.7210526316
Sentiment,DeepSeek-R1-Distill,English,macro_f1,0.6169059794
Sentiment,DeepSeek-R1-Distill,English,micro_f1,0.6173076923
Sentiment,DeepSeek-R1-Distill,Croatian,macro_f1,0.594812532
Sentiment,DeepSeek-R1-Distill,Croatian,micro_f1,0.6130239521
Sentiment,DeepSeek-R1-Distill,Serbian,macro_f1,0.5973492914
Sentiment,DeepSeek-R1-Distill,Serbian,micro_f1,0.6145251397
Sentiment,DeepSeek-R1-Distill,Bosnian,macro_f1,0.5676603766
Sentiment,DeepSeek-R1-Distill,Bosnian,micro_f1,0.5894736842
Sentiment,LLaMA 3.3,English,macro_f1,0.7486693947
Sentiment,LLaMA 3.3,English,micro_f1,0.745
Sentiment,LLaMA 3.3,Croatian,macro_f1,0.7278723723
Sentiment,LLaMA 3.3,Croatian,micro_f1,0.7425149701
Sentiment,LLaMA 3.3,Serbian,macro_f1,0.6925137552
Sentiment,LLaMA 3.3,Serbian,micro_f1,0.7113594041
Sentiment,LLaMA 3.3,Bosnian,macro_f1,0.673139337
Sentiment,LLaMA 3.3,Bosnian,micro_f1,0.7105263158
Sentiment,Gemma 3,English,macro_f1,0.7675997828
Sentiment,Gemma 3,English,micro_f1,0.7661538462
Sentiment,Gemma 3,Croatian,macro_f1,0.7280316556
Sentiment,Gemma 3,Croatian,micro_f1,0.7417664671
Sentiment,Gemma 3,Serbian,macro_f1,0.7068391376
Sentiment,Gemma 3,Serbian,micro_f1,0.7253258845
Sentiment,Gemma 3,Bosnian,macro_f1,0.7183838384
Sentiment,Gemma 3,Bosnian,micro_f1,0.7421052632
Sentiment,GPT-4o-mini,English,macro_f1,0.7331263778
Sentiment,GPT-4o-mini,English,micro_f1,0.7334615385
Sentiment,GPT-4o-mini,Croatian,macro_f1,0.6860364564
Sentiment,GPT-4o-mini,Croatian,micro_f1,0.7185628743
Sentiment,GPT-4o-mini,Serbian,macro_f1,0.681355209
Sentiment,GPT-4o-mini,Serbian,micro_f1,0.7057728119
Sentiment,GPT-4o-mini,Bosnian,macro_f1,0.593244717
Sentiment,GPT-4o-mini,Bosnian,micro_f1,0.6526315789
Sentiment,GPT-3.5-Turbo,English,macro_f1,0.6997700528
Sentiment,GPT-3.5-Turbo,English,micro_f1,0.6976923077
Sentiment,GPT-3.5-Turbo,Croatian,macro_f1,0.6517928959
Sentiment,GPT-3.5-Turbo,Croatian,micro_f1,0.6729041916
Sentiment,GPT-3.5-Turbo,Serbian,macro_f1,0.6641372492
Sentiment,GPT-3.5-Turbo,Serbian,micro_f1,0.6703910615
Sentiment,GPT-3.5-Turbo,Bosnian,macro_f1,0.583874944
Sentiment,GPT-3.5-Turbo,Bosnian,micro_f1,0.6263157895
Sentiment,GPT-4o,English,macro_f1,0.7710796128
Sentiment,GPT-4o,English,micro_f1,0.7730769231
Sentiment,GPT-4o,Croatian,macro_f1,0.7565209566
Sentiment,GPT-4o,Croatian,micro_f1,0.7821856287
Sentiment,GPT-4o,Serbian,macro_f1,0.7382772548
Sentiment,GPT-4o,Serbian,micro_f1,0.7644320298
Sentiment,GPT-4o,Bosnian,macro_f1,0.7009673256
Sentiment,GPT-4o,Bosnian,micro_f1,0.7473684211
Sentiment,GPT-5-Nano,English,macro_f1,0.751873943
Sentiment,GPT-5-Nano,English,micro_f1,0.7492307692
Sentiment,GPT-5-Nano,Croatian,macro_f1,0.7101447065
Sentiment,GPT-5-Nano,Croatian,micro_f1,0.7200598802
Sentiment,GPT-5-Nano,Serbian,macro_f1,0.7198123446
Sentiment,GPT-5-Nano,Serbian,micro_f1,0.7271880819
Sentiment,GPT-5-Nano,Bosnian,macro_f1,0.6844152866
Sentiment,GPT-5-Nano,Bosnian,micro_f1,0.6947368421
Sentiment,GPT-5-mini,English,macro_f1,0.7731097442
Sentiment,GPT-5-mini,English,micro_f1,0.7707692308
Sentiment,GPT-5-mini,Croatian,macro_f1,0.751793756
Sentiment,GPT-5-mini,Croatian,micro_f1,0.7619760479
Sentiment,GPT-5-mini,Serbian,macro_f1,0.7605016416
Sentiment,GPT-5-mini,Serbian,micro_f1,0.7737430168
Sentiment,GPT-5-mini,Bosnian,macro_f1,0.7341241345
Sentiment,GPT-5-mini,Bosnian,micro_f1,0.7526315789
Sentiment,GPT-5,English,macro_f1,0.784194889
Sentiment,GPT-5,English,micro_f1,0.7819230769
Sentiment,GPT-5,Croatian,macro_f1,0.7557027936
Sentiment,GPT-5,Croatian,micro_f1,0.7732035928
Sentiment,GPT-5,Serbian,macro_f1,0.7682868258
Sentiment,GPT-5,Serbian,micro_f1,0.7830540037
Sentiment,GPT-5,Bosnian,macro_f1,0.7587454212
Sentiment,GPT-5,Bosnian,micro_f1,0.7789473684
Sentiment,Qwen 3,English,macro_f1,0.7439452912
Sentiment,Qwen 3,English,micro_f1,0.7434615385
Sentiment,Qwen 3,Croatian,macro_f1,0.7041957699
Sentiment,Qwen 3,Croatian,micro_f1,0.7282934132
Sentiment,Qwen 3,Serbian,macro_f1,0.7065580052
Sentiment,Qwen 3,Serbian,micro_f1,0.7234636872
Sentiment,Qwen 3,Bosnian,macro_f1,0.6142079572
Sentiment,Qwen 3,Bosnian,micro_f1,0.6578947368
Sentiment,LLaMA 4 Scout,English,macro_f1,0.7052057035
Sentiment,LLaMA 4 Scout,English,micro_f1,0.7023076923
Sentiment,LLaMA 4 Scout,Croatian,macro_f1,0.6680832169
Sentiment,LLaMA 4 Scout,Croatian,micro_f1,0.6788922156
Sentiment,LLaMA 4 Scout,Serbian,macro_f1,0.6506360237
Sentiment,LLaMA 4 Scout,Serbian,micro_f1,0.6685288641
Sentiment,LLaMA 4 Scout,Bosnian,macro_f1,0.6282272716
Sentiment,LLaMA 4 Scout,Bosnian,micro_f1,0.6578947368
Sentiment,Gemini 2.5 Flash,English,macro_f1,0.7675114266
Sentiment,Gemini 2.5 Flash,English,micro_f1,0.7676923077
Sentiment,Gemini 2.5 Flash,Croatian,macro_f1,0.760760407
Sentiment,Gemini 2.5 Flash,Croatian,micro_f1,0.7866766467
Sentiment,Gemini 2.5 Flash,Serbian,macro_f1,0.7340615628
Sentiment,Gemini 2.5 Flash,Serbian,micro_f1,0.760707635
Sentiment,Gemini 2.5 Flash,Bosnian,macro_f1,0.6911787939
Sentiment,Gemini 2.5 Flash,Bosnian,micro_f1,0.7315789474
Sentiment,Mistral Medium 3.1,English,macro_f1,0.75935356
Sentiment,Mistral Medium 3.1,English,micro_f1,0.7566839777
Sentiment,Mistral Medium 3.1,Croatian,macro_f1,0.7339183248
Sentiment,Mistral Medium 3.1,Croatian,micro_f1,0.755239521
Sentiment,Mistral Medium 3.1,Serbian,macro_f1,0.7043345052
Sentiment,Mistral Medium 3.1,Serbian,micro_f1,0.7182114578
Sentiment,Mistral Medium 3.1,Bosnian,macro_f1,0.6412158118
Sentiment,Mistral Medium 3.1,Bosnian,micro_f1,0.6736842105
